Timestep,Name,Status,HeathyPercentage,RecoveredPercentage,DeathPercentage,InfectedPercentage,SusceptiblePercentage,TransRate,DeathRate,RecovRate,SuspeTime
0,Amy,Susceptible,1.6,0.0,0.0,0.0,0.2,0.5,0.1,0.1,2
0,Bob,Healthy,1.6,0.0,0.0,0.0,0.2,0.5,0.1,0.1,2
0,Carl,Healthy,1.6,0.0,0.0,0.0,0.2,0.5,0.1,0.1,2
0,Yale,Healthy,1.6,0.0,0.0,0.0,0.2,0.5,0.1,0.1,2
0,Xcode,Healthy,1.6,0.0,0.0,0.0,0.2,0.5,0.1,0.1,2
0,Zoo,Healthy,1.6,0.0,0.0,0.0,0.2,0.5,0.1,0.1,2
0,Dave,Healthy,1.6,0.0,0.0,0.0,0.2,0.5,0.1,0.1,2
0,Eason,Healthy,1.6,0.0,0.0,0.0,0.2,0.5,0.1,0.1,2
0,Fool,Healthy,1.6,0.0,0.0,0.0,0.2,0.5,0.1,0.1,2
1,Amy,Recovered,1.4,0.2,0.0,0.0,0.2,0.5,0.1,0.1,2
1,Bob,Susceptible,1.4,0.2,0.0,0.0,0.2,0.5,0.1,0.1,2
1,Carl,Healthy,1.4,0.2,0.0,0.0,0.2,0.5,0.1,0.1,2
1,Yale,Healthy,1.4,0.2,0.0,0.0,0.2,0.5,0.1,0.1,2
1,Xcode,Healthy,1.4,0.2,0.0,0.0,0.2,0.5,0.1,0.1,2
1,Zoo,Healthy,1.4,0.2,0.0,0.0,0.2,0.5,0.1,0.1,2
1,Dave,Healthy,1.4,0.2,0.0,0.0,0.2,0.5,0.1,0.1,2
1,Eason,Healthy,1.4,0.2,0.0,0.0,0.2,0.5,0.1,0.1,2
1,Fool,Healthy,1.4,0.2,0.0,0.0,0.2,0.5,0.1,0.1,2
2,Amy,Recovered,1.2,0.2,0.2,0.0,0.2,0.5,0.1,0.1,2
2,Bob,Died,1.2,0.2,0.2,0.0,0.2,0.5,0.1,0.1,2
2,Carl,Healthy,1.2,0.2,0.2,0.0,0.2,0.5,0.1,0.1,2
2,Yale,Susceptible,1.2,0.2,0.2,0.0,0.2,0.5,0.1,0.1,2
2,Xcode,Healthy,1.2,0.2,0.2,0.0,0.2,0.5,0.1,0.1,2
2,Zoo,Healthy,1.2,0.2,0.2,0.0,0.2,0.5,0.1,0.1,2
2,Dave,Healthy,1.2,0.2,0.2,0.0,0.2,0.5,0.1,0.1,2
2,Eason,Healthy,1.2,0.2,0.2,0.0,0.2,0.5,0.1,0.1,2
2,Fool,Healthy,1.2,0.2,0.2,0.0,0.2,0.5,0.1,0.1,2
3,Amy,Recovered,0.8,0.2,0.2,0.0,0.6,0.5,0.1,0.1,2
3,Bob,Died,0.8,0.2,0.2,0.0,0.6,0.5,0.1,0.1,2
3,Carl,Healthy,0.8,0.2,0.2,0.0,0.6,0.5,0.1,0.1,2
3,Yale,Susceptible,0.8,0.2,0.2,0.0,0.6,0.5,0.1,0.1,2
3,Xcode,Susceptible,0.8,0.2,0.2,0.0,0.6,0.5,0.1,0.1,2
3,Zoo,Susceptible,0.8,0.2,0.2,0.0,0.6,0.5,0.1,0.1,2
3,Dave,Healthy,0.8,0.2,0.2,0.0,0.6,0.5,0.1,0.1,2
3,Eason,Healthy,0.8,0.2,0.2,0.0,0.6,0.5,0.1,0.1,2
3,Fool,Healthy,0.8,0.2,0.2,0.0,0.6,0.5,0.1,0.1,2
4,Amy,Recovered,0.8,0.2,0.4,0.2,0.2,0.5,0.1,0.1,2
4,Bob,Died,0.8,0.2,0.4,0.2,0.2,0.5,0.1,0.1,2
4,Carl,Healthy,0.8,0.2,0.4,0.2,0.2,0.5,0.1,0.1,2
4,Yale,Infected,0.8,0.2,0.4,0.2,0.2,0.5,0.1,0.1,2
4,Xcode,Died,0.8,0.2,0.4,0.2,0.2,0.5,0.1,0.1,2
4,Zoo,Susceptible,0.8,0.2,0.4,0.2,0.2,0.5,0.1,0.1,2
4,Dave,Healthy,0.8,0.2,0.4,0.2,0.2,0.5,0.1,0.1,2
4,Eason,Healthy,0.8,0.2,0.4,0.2,0.2,0.5,0.1,0.1,2
4,Fool,Healthy,0.8,0.2,0.4,0.2,0.2,0.5,0.1,0.1,2
5,Amy,Recovered,0.8,0.2,0.4,0.4,0.0,0.5,0.1,0.1,2
